naselje_maticni_broj,naselje_ime,opstina_ime,pop,stage
732257,ГОСТУША,ПИРОТ,30,1
732265,ГРАДАШНИЦА,ПИРОТ,333,1
732273,ГРАДИШТЕ,ПИРОТ,38,1
732281,ДОБРИ ДО,ПИРОТ,27,1
733245,ГОРОБИЉЕ,ПОЖЕГА,1117,1
717878,РАДИЧЕВАЦ,КЊАЖЕВАЦ,15,1
717886,РГОШТЕ,КЊАЖЕВАЦ,212,1
717894,РЕПУШНИЦА,КЊАЖЕВАЦ,0,1
717908,СВРЉИШКА ТОПЛА,КЊАЖЕВАЦ,31,1
717916,СКРОБНИЦА,КЊАЖЕВАЦ,32,1
718491,ЗУКВЕ,КОЦЕЉЕВА,179,1
718505,КАМЕНИЦА,КОЦЕЉЕВА,419,1
718513,КОЦЕЉЕВА,КОЦЕЉЕВА,4007,1
718521,ЉУТИЦЕ,КОЦЕЉЕВА,369,1
701025,КАМЕНИЦА,АЛЕКСИНАЦ,38,1
701033,КАТУН,АЛЕКСИНАЦ,422,1
736031,МРЉАК,ПРОКУПЉЕ,9,1
736040,МРШЕЉ,ПРОКУПЉЕ,76,1
736155,ПИСКАЉЕ,ПРОКУПЉЕ,11,1
736163,ПЛОЧНИК,ПРОКУПЉЕ,101,1
736295,СМРДАН,ПРОКУПЉЕ,49,1
801682,ТОМАШЕВАЦ,ЗРЕЊАНИН,1212,1
801704,ФАРКАЖДИН,ЗРЕЊАНИН,957,1
800651,ПОБЕДА,БАЧКА ТОПОЛА,176,1
727903,ДУДУЛАЈЦЕ,МЕРОШИНА,189,1
724696,НАВАЛИН,ЛЕСКОВАЦ,683,1
724700,НАКРИВАЊ,ЛЕСКОВАЦ,938,1
801836,ЧОРТАНОВЦИ,ИНЂИЈА,2002,1
801895,ИРИГ,ИРИГ,3901,1
801909,ЈАЗАК,ИРИГ,773,1
801917,КРУШЕДОЛ ПРЊАВОР,ИРИГ,136,1
805009,ГИБАРАЦ,ШИД,731,1
725242,ВЕЛИКО СЕЛО,ЛОЗНИЦА,311,1
724319,ЖАБЉАНЕ,ЛЕСКОВАЦ,503,1
743429,ГОДОВО,ТУТИН,167,1
740098,ТУТИЋЕ,СЈЕНИЦА,13,1
740101,УВАЦ,СЈЕНИЦА,15,1
740110,УГАО,СЈЕНИЦА,444,1
740128,УРСУЛЕ,СЈЕНИЦА,150,1
720305,ЧУКОЈЕВАЦ,КРАЉЕВО,920,1
717762,ОШЉАНЕ,КЊАЖЕВАЦ,85,1
717789,ПАПРАТНА,КЊАЖЕВАЦ,2,1
707236,ДУПЦИ,БРУС,321,1
707252,ЖАРЕВО,БРУС,43,1
729779,ДЕБЕЉА,НОВА ВАРОШ,92,1
729787,ДОЊА БЕЛА РЕКА,НОВА ВАРОШ,190,1
729795,ДРАГЛИЦА,НОВА ВАРОШ,151,1
729809,ДРАЖЕВИЋИ,НОВА ВАРОШ,315,1
729817,ДРМАНОВИЋИ,НОВА ВАРОШ,294,1
743496,ДЕЛИМЕЂЕ,ТУТИН,303,1
743500,ДЕТАНЕ,ТУТИН,105,1
803537,ДОБРИНЦИ,РУМА,1372,1
803545,ДОЊИ ПЕТРОВЦИ,РУМА,765,1
803553,ЖАРКОВАЦ,РУМА,799,1
803561,КЛЕНАК,РУМА,2603,1
802620,НОВО МИЛОШЕВО,НОВИ БЕЧЕЈ,5022,1
802638,БАНАТСКО АРАНЂЕЛОВО,НОВИ КНЕЖЕВАЦ,1004,1
743585,ЂЕРЕКАРЕ,ТУТИН,488,1
800686,СТАРА МОРАВИЦА,БАЧКА ТОПОЛА,3909,1
715859,ПЛАНИНИЦА,ЗАЈЕЧАР,104,1
715867,ПРЛИТА,ЗАЈЕЧАР,89,1
739707,КЛАДНИЦА,СЈЕНИЦА,334,1
739715,КНЕЖЕВАЦ,СЈЕНИЦА,86,1
716111,ДЕРЕТИН,ИВАЊИЦА,157,1
716120,ДОБРИ ДО,ИВАЊИЦА,164,1
716138,ДУБРАВА,ИВАЊИЦА,1533,1
716146,ЕРЧЕГЕ,ИВАЊИЦА,65,1
716154,ИВАЊИЦА,ИВАЊИЦА,11240,1
716162,ЈАВОРСКА РАВНА ГОРА,ИВАЊИЦА,63,1
802794,КИСАЧ,НОВИ САД,4511,1
716197,КЛЕКОВА,ИВАЊИЦА,57,1
802824,НОВИ САД,НОВИ САД,260438,1
802832,ПЕТРОВАРАДИН,НОВИ САД,15621,1
716308,МАСКОВА,ИВАЊИЦА,99,1
716316,МЕДОВИНЕ,ИВАЊИЦА,49,1
802867,СРЕМСКА КАМЕНИЦА,НОВИ САД,12632,1
717592,ЈАЊА,КЊАЖЕВАЦ,13,1
717606,ЈЕЛАШНИЦА,КЊАЖЕВАЦ,100,1
717614,КАЛИЧИНА,КЊАЖЕВАЦ,180,1
800619,ЊЕГОШЕВО,БАЧКА ТОПОЛА,417,1
802972,ДЕРОЊЕ,ОЏАЦИ,2106,1
802999,КАРАВУКОВО,ОЏАЦИ,3586,1
803120,ОМОЉИЦА,ПАНЧЕВО,5605,1
803138,ПАНЧЕВО,ПАНЧЕВО,73401,1
719498,ГОДАЧИЦА,КРАЉЕВО,699,1
803090,ИВАНОВО,ПАНЧЕВО,974,1
804410,НОВИ БАНОВЦИ,СТАРА ПАЗОВА,8796,1
717118,РАШКОВИЋ,КНИЋ,159,1
717126,СУМОРОВАЦ,КНИЋ,80,1
706132,СЛАВНИК,БОЈНИК,68,1
706159,СТУБЛА,БОЈНИК,578,1
706167,ТУРЈАНЕ,БОЈНИК,12,1
706175,ЋУКОВАЦ,БОЈНИК,28,1
706183,ЦРКВИЦА,БОЈНИК,441,1
706191,БАЧЕВИЦА,БОЉЕВАЦ,218,1
706205,БОГОВИНА,БОЉЕВАЦ,908,1
706213,БОЉЕВАЦ,БОЉЕВАЦ,2894,1
739766,КРЊА ЈЕЛА,СЈЕНИЦА,28,1
739774,КРСТАЦ,СЈЕНИЦА,10,1
740586,БАЧИНАЦ,СМЕДЕРЕВСКА ПАЛАНКА,569,1
728071,БЕРКОВАЦ,МИОНИЦА,331,1
728080,БРЕЖЂЕ,МИОНИЦА,402,1
743151,СТУБЛИЦА,ТРСТЕНИК,140,1
713279,ГОЈНА ГОРА,ГОРЊИ МИЛАНОВАЦ,469,1
804908,ЧОКА,ЧОКА,3119,1
713686,РУЧИЋИ,ГОРЊИ МИЛАНОВАЦ,46,1
739561,ДУНИШИЋЕ,СЈЕНИЦА,160,1
746061,ЧАЧАК,ЧАЧАК,69598,1
746070,БЕЛА РЕКА,ШАБАЦ,706,1
746100,БУКОР,ШАБАЦ,497,1
746118,ВАРНА,ШАБАЦ,1331,1
801925,КРУШЕДОЛ СЕЛО,ИРИГ,288,1
801933,МАЛА РЕМЕТА,ИРИГ,119,1
801950,РИВИЦА,ИРИГ,532,1
728721,РАЈАЦ,НЕГОТИН,192,1
728730,РЕЧКА,НЕГОТИН,223,1
728748,РОГЉЕВО,НЕГОТИН,98,1
728756,САМАРИНОВАЦ,НЕГОТИН,319,1
728764,СИКОЛЕ,НЕГОТИН,397,1
728772,СЛАТИНА,НЕГОТИН,246,1
728799,СМЕДОВАЦ,НЕГОТИН,50,1
728802,СРБОВО,НЕГОТИН,289,1
737810,РЕКОВАЦ,РЕКОВАЦ,1283,1
737828,СЕКУРИЧ,РЕКОВАЦ,366,1
737836,СИБНИЦА,РЕКОВАЦ,156,1
737844,СИЉЕВИЦА,РЕКОВАЦ,85,1
743755,ЛЕСКОВА,ТУТИН,503,1
743763,ЛИПИЦА,ТУТИН,45,1
745120,РУПЉЕ,ЦРНА ТРАВА,4,1
731609,СИСЕВАЦ,ПАРАЋИН,14,1
731650,ЧЕПУРЕ,ПАРАЋИН,658,1
731668,ШАВАЦ,ПАРАЋИН,403,1
731676,ШАЛУДОВАЦ,ПАРАЋИН,292,1
731684,БИСТРИЦА,ПЕТРОВАЦ НА МЛАВИ,586,1
731692,БОШЊАК,ПЕТРОВАЦ НА МЛАВИ,451,1
731706,БУРОВАЦ,ПЕТРОВАЦ НА МЛАВИ,644,1
731714,БУСУР,ПЕТРОВАЦ НА МЛАВИ,815,1
731722,ВЕЗИЧЕВО,ПЕТРОВАЦ НА МЛАВИ,482,1
731749,ВЕЛИКИ ПОПОВАЦ,ПЕТРОВАЦ НА МЛАВИ,956,1
731757,ВЕЛИКО ЛАОЛЕ,ПЕТРОВАЦ НА МЛАВИ,1421,1
731765,ВИТОВНИЦА,ПЕТРОВАЦ НА МЛАВИ,137,1
731773,ВОШАНОВАЦ,ПЕТРОВАЦ НА МЛАВИ,323,1
731781,ДОБРЊЕ,ПЕТРОВАЦ НА МЛАВИ,447,1
731790,ДУБОЧКА,ПЕТРОВАЦ НА МЛАВИ,379,1
731803,ЖДРЕЛО,ПЕТРОВАЦ НА МЛАВИ,511,1
731811,ЗАБРЂЕ,ПЕТРОВАЦ НА МЛАВИ,548,1
731820,КАМЕНОВО,ПЕТРОВАЦ НА МЛАВИ,697,1
731838,КЛАДУРОВО,ПЕТРОВАЦ НА МЛАВИ,317,1
731846,КНЕЖИЦА,ПЕТРОВАЦ НА МЛАВИ,539,1
731854,КРВИЈЕ,ПЕТРОВАЦ НА МЛАВИ,350,1
731862,ЛЕСКОВАЦ,ПЕТРОВАЦ НА МЛАВИ,254,1
719889,МИЛИЋЕ,КРАЉЕВО,176,1
719897,МИЛОЧАЈ,КРАЉЕВО,887,1
802107,ХОРГОШ,КАЊИЖА,4608,1
742759,ГОРЊИ ДУБИЧ,ТРСТЕНИК,50,1
742767,ГОРЊИ РИБНИК,ТРСТЕНИК,478,1
742775,ГРАБОВАЦ,ТРСТЕНИК,83,1
800422,ТОВАРИШЕВО,БАЧКА ПАЛАНКА,2321,1
712132,СТРЕШАК,ВРАЊЕ,24,1
712159,СТРОПСКО,ВРАЊЕ,168,1
715832,НИКОЛИЧЕВО,ЗАЈЕЧАР,563,1
720844,ГОРЊИ СТЕПОШ,КРУШЕВАЦ,725,1
720852,ГРЕВЦИ,КРУШЕВАЦ,285,1
720879,ГРКЉАНЕ,КРУШЕВАЦ,318,1
714470,ЛУКАВИЦА,ДИМИТРОВГРАД,318,1
714488,МАЗГОШ,ДИМИТРОВГРАД,16,1
720801,ГАГЛОВО,КРУШЕВАЦ,570,1
720810,ГАРИ,КРУШЕВАЦ,460,1
714658,ДОЉЕВАЦ,ДОЉЕВАЦ,1494,1
800392,ПАРАГЕ,БАЧКА ПАЛАНКА,792,1
802174,НАКОВО,КИКИНДА,1444,1
730505,ЛЕЧА,НОВИ ПАЗАР,265,1
730513,ЛОПУЖЊЕ,НОВИ ПАЗАР,9,1
730521,ЛУКАРЕ,НОВИ ПАЗАР,437,1
730530,ЛУКАРСКО ГОШЕВО,НОВИ ПАЗАР,896,1
730548,ЛУКОЦРЕВО,НОВИ ПАЗАР,140,1
730556,МИШЧИЋЕ,НОВИ ПАЗАР,134,1
730564,МУР,НОВИ ПАЗАР,4818,1
730572,МУХОВО,НОВИ ПАЗАР,316,1
742023,ДОЊА ТРНАВА,ТОПОЛА,660,1
742031,ДОЊА ШАТОРЊА,ТОПОЛА,579,1
700738,ВИТКОВАЦ,АЛЕКСИНАЦ,250,1
700746,ВРЕЛО,АЛЕКСИНАЦ,136,1
713040,МРЧКОВАЦ,ГОЛУБАЦ,187,1
731030,ЧАШИЋ ДОЛАЦ,НОВИ ПАЗАР,128,1
804894,ЦРНА БАРА,ЧОКА,295,1
740250,ШУШУРЕ,СЈЕНИЦА,19,1
740268,БАДЉЕВИЦА,СМЕДЕРЕВО,315,1
740276,БИНОВАЦ,СМЕДЕРЕВО,357,1
740284,ВОДАЊ,СМЕДЕРЕВО,1085,1
729841,КУЋАНИ,НОВА ВАРОШ,175,1
729850,ЉЕПОЈЕВИЋИ,НОВА ВАРОШ,121,1
729868,МИШЕВИЋИ,НОВА ВАРОШ,66,1
729876,НЕГБИНА,НОВА ВАРОШ,271,1
736333,ТОВРЉАНЕ,ПРОКУПЉЕ,28,1
736341,ТРНОВИ ЛАЗ,ПРОКУПЉЕ,30,1
736350,ТУЛАРЕ,ПРОКУПЉЕ,149,1
721123,ЛАЗАРЕВАЦ,КРУШЕВАЦ,476,1
721131,ЛАЗАРИЦА,КРУШЕВАЦ,1753,1
737534,ШИПАЧИНА,РАШКА,81,1
711055,РАВНА ГОРА,ВЛАСОТИНЦЕ,21,1
746223,ЗАБЛАЋЕ,ШАБАЦ,475,1
721034,КАПИЏИЈА,КРУШЕВАЦ,1361,1
717924,СЛАТИНА,КЊАЖЕВАЦ,64,1
717932,СТАЊИНАЦ,КЊАЖЕВАЦ,25,1
701254,РСОВАЦ,АЛЕКСИНАЦ,115,1
701513,ЈЕЛОВИК,АРАНЂЕЛОВАЦ,271,1
701521,КОПЉАРЕ,АРАНЂЕЛОВАЦ,813,1
701530,МИСАЧА,АРАНЂЕЛОВАЦ,571,1
721247,МАЛИ КУПЦИ,КРУШЕВАЦ,332,1
721255,МАЛИ ШИЉЕГОВАЦ,КРУШЕВАЦ,461,1
707422,МАЛА ГРАБОВНИЦА,БРУС,61,1
707449,МИЛЕНТИЈА,БРУС,169,1
707457,ОСРЕЦИ,БРУС,272,1
707465,ПАЉЕВШТИЦА,БРУС,29,1
707473,РАВНИ,БРУС,123,1
707481,РАВНИШТЕ,БРУС,59,1
707490,РАДМАНОВО,БРУС,108,1
702455,БАЈИНА БАШТА,БАЈИНА БАШТА,8971,1
730602,НОВИ ПАЗАР,НОВИ ПАЗАР,71462,1
730629,ОДОЈЕВИЋЕ,НОВИ ПАЗАР,7,1
741230,ЈЕЛАШНИЦА,СУРДУЛИЦА,921,1
802310,БАВАНИШТЕ,КОВИН,5082,1
802328,ГАЈ,КОВИН,2486,1
802336,ДЕЛИБЛАТО,КОВИН,2409,1
721441,РЛИЦА,КРУШЕВАЦ,22,1
721450,РОСИЦА,КРУШЕВАЦ,107,1
721468,СЕБЕЧЕВАЦ,КРУШЕВАЦ,414,1
721476,СЕЗЕМЧЕ,КРУШЕВАЦ,188,1
701262,РУТЕВАЦ,АЛЕКСИНАЦ,775,1
702145,ЈАСЕНОВ ДЕЛ,БАБУШНИЦА,34,1
702153,КАЛУЂЕРЕВО,БАБУШНИЦА,128,1
702161,КАМБЕЛЕВАЦ,БАБУШНИЦА,186,1
702170,КИЈЕВАЦ,БАБУШНИЦА,16,1
702226,МАСУРОВАЦ,БАБУШНИЦА,2,1
707856,ЈАСТРЕБАЦ,БУЈАНОВАЦ,9,1
707864,КАРАДНИК,БУЈАНОВАЦ,375,1
714208,БАРЈЕ,ДИМИТРОВГРАД,11,1
715549,ВЕЛИКИ ИЗВОР,ЗАЈЕЧАР,2036,1
715557,ВЕЛИКИ ЈАСЕНОВАЦ,ЗАЈЕЧАР,184,1
715565,ВРАЖОГРНАЦ,ЗАЈЕЧАР,865,1
715573,ВРАТАРНИЦА,ЗАЈЕЧАР,277,1
715581,ВРБИЦА,ЗАЈЕЧАР,150,1
715590,ГАМЗИГРАД,ЗАЈЕЧАР,537,1
715603,ГЛОГОВИЦА,ЗАЈЕЧАР,254,1
715611,ГОРЊА БЕЛА РЕКА,ЗАЈЕЧАР,87,1
715620,ГРАДСКОВО,ЗАЈЕЧАР,337,1
716847,БУМБАРЕВО БРДО,КНИЋ,359,1
716855,ВРБЕТА,КНИЋ,95,1
716863,ВУЧКОВИЦА,КНИЋ,604,1
716871,ГРАБОВАЦ,КНИЋ,743,1
716880,ГРИВАЦ,КНИЋ,278,1
715034,ЈОШАНИЦА,ЖАГУБИЦА,422,1
716910,ГУНЦАТИ,КНИЋ,640,1
716928,ДРАГУШИЦА,КНИЋ,200,1
734632,ЗАВИНОГРАЂЕ,ПРИЈЕПОЉЕ,1237,1
739499,ДРАГОЈЛОВИЋЕ,СЈЕНИЦА,84,1
733679,БУКАРЕВАЦ,ПРЕШЕВО,661,1
733687,БУШТРАЊЕ,ПРЕШЕВО,687,1
742112,КРЋЕВАЦ,ТОПОЛА,575,1
742139,ЛИПОВАЦ,ТОПОЛА,437,1
740438,ОСИПАОНИЦА,СМЕДЕРЕВО,2873,1
710563,РЕПИШТЕ,ВЛАДИЧИН ХАН,129,1
710571,РУЖИЋ,ВЛАДИЧИН ХАН,50,1
710580,СОЛАЧКА СЕНА,ВЛАДИЧИН ХАН,36,1
733024,ЛУЧИЦА,ПОЖАРЕВАЦ,1913,1
713414,ЗАГРАЂЕ,ГОРЊИ МИЛАНОВАЦ,263,1
713422,ЈАБЛАНИЦА,ГОРЊИ МИЛАНОВАЦ,194,1
739782,КРЋЕ,СЈЕНИЦА,321,1
739804,ЛИЈЕВА РЕКА,СЈЕНИЦА,3,1
713805,ШИЛОПАЈ,ГОРЊИ МИЛАНОВАЦ,57,1
713813,БАЛАЈНАЦ,ДЕСПОТОВАЦ,310,1
720607,БЕЛАСИЦА,КРУШЕВАЦ,240,1
720615,БИВОЉЕ,КРУШЕВАЦ,237,1
720623,БОВАН,КРУШЕВАЦ,128,1
720631,БОЈИНЦЕ,КРУШЕВАЦ,49,1
743895,ПАЉЕВО,ТУТИН,256,1
736317,СТАРИ ЂУРОВАЦ,ПРОКУПЉЕ,3,1
736619,СМИЛОВАЦ,РАЖАЊ,665,1
736627,СТАРИ БРАЧИН,РАЖАЊ,221,1
709514,ДЕСИНЕ,ВЕЛИКО ГРАДИШТЕ,427,1
709522,ДОЉАШНИЦА,ВЕЛИКО ГРАДИШТЕ,284,1
709549,ЂУРАКОВО,ВЕЛИКО ГРАДИШТЕ,249,1
709557,ЗАТОЊЕ,ВЕЛИКО ГРАДИШТЕ,573,1
709565,КАМИЈЕВО,ВЕЛИКО ГРАДИШТЕ,243,1
711683,КРУШЕВА ГЛАВА,ВРАЊЕ,52,1
711691,КУМАРЕВО,ВРАЊСКА БАЊА,213,2
735728,ДОЊА СТРАЖАВА,ПРОКУПЉЕ,721,1
713554,ЉУТОВНИЦА,ГОРЊИ МИЛАНОВАЦ,136,1
713562,МАЈДАН,ГОРЊИ МИЛАНОВАЦ,369,1
725366,ДОЊЕ НЕДЕЉИЦЕ,ЛОЗНИЦА,403,1
736643,ЦРНИ КАО,РАЖАЊ,287,1
736651,ЧУБУРА,РАЖАЊ,112,1
736660,ШЕТКА,РАЖАЊ,268,1
745448,БАЛУГА (ТРНАВСКА),ЧАЧАК,660,1
745456,БАЊИЦА,ЧАЧАК,243,1
745472,БЕЧАЊ,ЧАЧАК,719,1
745499,БРЕЗОВИЦА,ЧАЧАК,63,1
745502,БРЕСНИЦА,ЧАЧАК,1056,1
745529,ВАПА,ЧАЧАК,615,1
708925,РАБАС,ВАЉЕВО,166,1
708933,РАВЊЕ,ВАЉЕВО,152,1
708941,РАЂЕВО СЕЛО,ВАЉЕВО,997,1
708950,РЕБЕЉ,ВАЉЕВО,52,1
708968,РОВНИ,ВАЉЕВО,94,1
742201,РАЈКОВАЦ,ТОПОЛА,136,1
743925,ПОКРВЕНИК,ТУТИН,182,1
743933,ПОПЕ,ТУТИН,180,1
739430,ГРАДАЦ,СЈЕНИЦА,90,1
800805,ДУПЉАЈА,БЕЛА ЦРКВА,641,1
800813,ЈАСЕНОВО,БЕЛА ЦРКВА,1097,1
800821,КАЈТАСОВО,БЕЛА ЦРКВА,242,1
800856,КУСИЋ,БЕЛА ЦРКВА,1047,1
743232,БАЋИЦА,ТУТИН,409,1
716090,ДАЈИЋИ,ИВАЊИЦА,147,1
741558,ГУБИН ДО,УЖИЦЕ,288,1
724432,КАЛУЂЕРЦЕ,ЛЕСКОВАЦ,97,1
724459,КАРАЂОРЂЕВАЦ,ЛЕСКОВАЦ,293,1
724467,КАШТАВАР,ЛЕСКОВАЦ,34,1
743712,ЈУЖНИ КОЧАРНИК,ТУТИН,38,1
725692,ТЕКЕРИШ,ЛОЗНИЦА,152,1
725706,ТРБОСИЉЕ,ЛОЗНИЦА,206,1
720682,ВЕЛИКА КРУШЕВИЦА,КРУШЕВАЦ,624,1
722332,ПАРАДА,КУРШУМЛИЈА,1,1
722359,ПАЧАРАЂА,КУРШУМЛИЈА,17,1
731412,ДРЕНОВАЦ,ПАРАЋИН,1545,1
731439,ЗАБРЕГА,ПАРАЋИН,778,1
741043,АЛАКИНЦЕ,СУРДУЛИЦА,1371,1
741256,КИЈЕВАЦ,СУРДУЛИЦА,75,1
741264,КЛИСУРА,СУРДУЛИЦА,114,1
741272,КОЛУНИЦА,СУРДУЛИЦА,0,1
734721,ЈУНЧЕВИЋИ,ПРИЈЕПОЉЕ,132,1
734730,КАМЕНА ГОРА,ПРИЈЕПОЉЕ,103,1
731242,ПЛУЖАЦ,ОСЕЧИНА,423,1
731269,СИРДИЈА,ОСЕЧИНА,144,1
731277,СКАДАР,ОСЕЧИНА,463,1
734365,АЉИНОВИЋИ,ПРИЈЕПОЉЕ,36,1
734373,БАЛИЋИ,ПРИЈЕПОЉЕ,499,1
745979,РАКОВА,ЧАЧАК,552,1
705691,ГЛУШЦИ,БОГАТИЋ,1635,1
705705,ДУБЉЕ,БОГАТИЋ,2424,1
706388,РУЈИШТЕ,БОЉЕВАЦ,206,1
739197,БИОЦ,СЈЕНИЦА,70,1
739219,БЛАТО,СЈЕНИЦА,32,1
708909,ПРИЈЕЗДИЋ,ВАЉЕВО,258,1
709786,БЕЉИН,ВЛАДИМИРЦИ,410,1
709794,БОБОВИК,ВЛАДИМИРЦИ,232,1
739375,ВРБНИЦА,СЈЕНИЦА,99,1
734292,СОЧИЦЕ,ПРИБОЈ,140,1
743976,РАДУХОВЦЕ,ТУТИН,336,1
713236,ВЕЛЕРЕЧ,ГОРЊИ МИЛАНОВАЦ,716,1
746002,СЛАТИНА,ЧАЧАК,449,1
746029,СОКОЛИЋИ,ЧАЧАК,158,1
730033,БАТЊИК,НОВИ ПАЗАР,33,1
800368,НЕШТИН,БАЧКА ПАЛАНКА,609,1
735965,КРУШЕВИЦА,ПРОКУПЉЕ,6,1
735973,МАЂЕРЕ,ПРОКУПЉЕ,225,1
735981,МАЛА ПЛАНА,ПРОКУПЉЕ,447,1
735990,МАЧИНА,ПРОКУПЉЕ,38,1
736007,МЕРОВАЦ,ПРОКУПЉЕ,107,1
736015,МИКУЛОВАЦ,ПРОКУПЉЕ,251,1
736023,МИЉКОВИЦА,ПРОКУПЉЕ,11,1
717533,ЖУКОВАЦ,КЊАЖЕВАЦ,36,1
717541,ЗОРУНОВАЦ,КЊАЖЕВАЦ,56,1
717550,ЗУБЕТИНАЦ,КЊАЖЕВАЦ,75,1
717568,ИНОВО,КЊАЖЕВАЦ,35,1
717576,ЈАКОВАЦ,КЊАЖЕВАЦ,181,1
717584,ЈАЛОВИК ИЗВОР,КЊАЖЕВАЦ,60,1
719285,ЧУМИЋ,КРАГУЈЕВАЦ,1254,1
719293,ШЉИВОВАЦ,КРАГУЈЕВАЦ,368,1
719307,АДРАНИ,КРАЉЕВО,2562,1
802921,САКУЛЕ,ОПОВО,1629,1
739898,ПЛАНА,СЈЕНИЦА,13,1
702196,ЛИНОВО,БАБУШНИЦА,8,1
704598,БРОВИЋ,ОБРЕНОВАЦ,619,1
704601,ВЕЛИКО ПОЉЕ,ОБРЕНОВАЦ,1669,1
714992,БРЕЗНИЦА,ЖАГУБИЦА,81,1
726702,СОКОЛАЦ,ЉУБОВИЈА,47,1
726729,ТОРНИК,ЉУБОВИЈА,73,1
734802,КОПРИВНА,ПРИЈЕПОЉЕ,14,1
738557,ДУБНИЦА,СВИЛАЈНАЦ,362,1
738581,КУШИЉЕВО,СВИЛАЈНАЦ,1975,1
738751,ВАРОШ,СВРЉИГ,48,1
738760,ВЛАХОВО,СВРЉИГ,61,1
745243,ЈАБЛАНИЦА,ЧАЈЕТИНА,466,1
745260,ЉУБИШ,ЧАЈЕТИНА,385,1
745278,МАЧКАТ,ЧАЈЕТИНА,908,1
745286,МУШВЕТЕ,ЧАЈЕТИНА,221,1
706914,РАЈЧИЛОВЦИ,БОСИЛЕГРАД,1612,1
706922,РЕСЕН,БОСИЛЕГРАД,42,1
706949,РИБАРЦИ,БОСИЛЕГРАД,13,1
706957,РИКАЧЕВО,БОСИЛЕГРАД,69,1
724530,КУТЛЕШ,ЛЕСКОВАЦ,516,1
724548,ЛЕСКОВАЦ,ЛЕСКОВАЦ,54091,1
724556,ЛИПОВИЦА,ЛЕСКОВАЦ,962,1
724564,ЛИЧИН ДОЛ,ЛЕСКОВАЦ,57,1
743992,РАМОШЕВО,ТУТИН,218,1
744000,РЕЖЕВИЋЕ,ТУТИН,64,1
721638,ШАНАЦ,КРУШЕВАЦ,849,1
721891,ДЕШИШКА,КУРШУМЛИЈА,14,1
721905,ДОБРИ ДО,КУРШУМЛИЈА,38,1
723479,РАДЕВЦЕ,ЛЕБАНЕ,16,1
721735,БОГУЈЕВАЦ,КУРШУМЛИЈА,37,1
791024,БЕОГРАД (ВРАЧАР),ВРАЧАР,55406,1
791032,БЕОГРАД (ЗВЕЗДАРА),ЗВЕЗДАРА,172625,1
791059,БЕОГРАД (ЗЕМУН),ЗЕМУН,166049,1
723550,ЦЕКАВИЦА,ЛЕБАНЕ,377,1
802034,МАЛИ ПЕСАК,КАЊИЖА,63,1
721204,МАКРЕШАНЕ,КРУШЕВАЦ,1249,1
801798,НОВИ КАРЛОВЦИ,ИНЂИЈА,2552,1
702471,БЕСЕРОВИНА,БАЈИНА БАШТА,178,1
702480,ВИШЕСАВА,БАЈИНА БАШТА,1707,1
702498,ГВОЗДАЦ,БАЈИНА БАШТА,417,1
702501,ДОБРОТИН,БАЈИНА БАШТА,114,1
702510,ДРАКСИН,БАЈИНА БАШТА,76,1
702528,ДУБ,БАЈИНА БАШТА,262,1
702536,ЗАГЛАВАК,БАЈИНА БАШТА,269,1
702544,ЗАОВИНЕ,БАЈИНА БАШТА,169,1
702552,ЗАРОЖЈЕ,БАЈИНА БАШТА,394,1
719803,МАТАРУГЕ,КРАЉЕВО,391,1
725803,ВЛАСТЕЉИЦЕ,ЛУЧАНИ,197,1
730408,ЈАНЧА,НОВИ ПАЗАР,299,1
730416,ЈОВА,НОВИ ПАЗАР,0,1
730424,КАШАЉ,НОВИ ПАЗАР,10,1
733695,ГАРЕ,ПРЕШЕВО,0,1
733709,ГОЛЕМИ ДОЛ,ПРЕШЕВО,248,1
705241,ВИШЕ СЕЛО,БЛАЦЕ,74,1
705250,ВРБОВАЦ,БЛАЦЕ,112,1
705268,ГОРЊА ДРАГУША,БЛАЦЕ,162,1
705276,ГОРЊА ЈОШАНИЦА,БЛАЦЕ,153,1
705284,ГОРЊЕ ГРГУРЕ,БЛАЦЕ,139,1
735949,КОСТЕНИЦА,ПРОКУПЉЕ,133,1
792047,НИШ (МЕДИЈАНА),МЕДИЈАНА,78470,2
737682,КОМАРАНЕ,РЕКОВАЦ,119,1
715751,ЛЕНОВАЦ,ЗАЈЕЧАР,96,1
715760,ЛЕСКОВАЦ,ЗАЈЕЧАР,41,1
715778,ЛУБНИЦА,ЗАЈЕЧАР,647,1
706256,ДОБРО ПОЉЕ,БОЉЕВАЦ,199,1
706264,ДОБРУЈЕВАЦ,БОЉЕВАЦ,114,1
711110,СТАЈКОВЦЕ,ВЛАСОТИНЦЕ,1463,1
708135,РУСЦЕ,БУЈАНОВАЦ,11,1
708143,САМОЉИЦА,БУЈАНОВАЦ,1027,1
708151,СЕБРАТ,БУЈАНОВАЦ,37,1
708160,СЕЈАЦЕ,БУЈАНОВАЦ,55,1
705942,ИВАЊЕ,БОЈНИК,16,1
727075,БАТУША,МАЛО ЦРНИЋЕ,387,1
736562,РАЖАЊ,РАЖАЊ,1138,1
707287,ЖИЉЦИ,БРУС,368,1
707295,ЖУЊЕ,БРУС,271,1
707309,ЗЛАТАРИ,БРУС,441,1
708984,СЕДЛАРИ,ВАЉЕВО,1278,1
